,Contributor,Commit,Percentage
0,nanaya,14389,35.55%
1,notbakaneko,14271,35.25%
2,peppy,3795,9.37%
3,nekodex,2873,7.10%
4,LiquidPL,1208,2.98%
5,cl8n,716,1.77%
6,venix12,374,0.92%
7,gagahpangeran,371,0.92%
8,TPGPL,226,0.56%
9,kj415j45,215,0.53%
10,Haytsir,131,0.32%
11,shortthu,103,0.25%
12,bdach,101,0.25%
13,smoogipoo,76,0.19%
14,tt-auto,71,0.18%
15,tsunyoku,65,0.16%
16,dependabot[bot],65,0.16%
17,ThePooN,63,0.16%
18,Hughp135,63,0.16%
19,teknoabu,61,0.15%
20,Swekka,60,0.15%
21,fajar13k,60,0.15%
22,MegaApplePi,55,0.14%
23,tybug,52,0.13%
24,leonekmi,52,0.13%
25,jacobvm04,44,0.11%
26,rayriffy,41,0.10%
27,RockRoller01,38,0.09%
28,Joehuu,37,0.09%
29,reesebiz,34,0.08%
30,Ephemeralis,30,0.07%
31,mcendu,30,0.07%
32,InvisibleSymbol,26,0.06%
33,shinobu-uwu,23,0.06%
34,Nicarim,22,0.05%
35,tailsdk,21,0.05%
36,FreezyLemon,19,0.05%
37,edisonlee55,19,0.05%
38,Soukyuen,18,0.04%
39,Exotica0122,16,0.04%
40,RedNesto,16,0.04%
41,HoutarouOreki,16,0.04%
42,Uniterno,15,0.04%
43,eltrufas,15,0.04%
44,Padnezz,14,0.03%
45,claudiodekker,12,0.03%
46,flesnuk,12,0.03%
47,HwSky,11,0.03%
48,chayleaf,11,0.03%
49,OussamaDanba,11,0.03%
50,varkaria,10,0.02%
51,Reesebest,10,0.02%
52,NiceAesth,10,0.02%
53,marcostudios,10,0.02%
54,Xyloo,10,0.02%
55,Risers,9,0.02%
56,Xetera,9,0.02%
57,Deardrops,9,0.02%
58,MellieVT,8,0.02%
59,Corne2Plum3,8,0.02%
60,HonKLam,8,0.02%
61,MinatoHikari,8,0.02%
62,Vacharavich,8,0.02%
63,ErinvanderVeen,7,0.02%
64,Sakisan,6,0.01%
65,github-merge-queue[bot],6,0.01%
66,ev3nvy,6,0.01%
67,adv3006,6,0.01%
68,Galkaan,6,0.01%
69,Tarkoviski,5,0.01%
70,Bobo1239,5,0.01%
71,jhdcruz,5,0.01%
72,naoey,5,0.01%
73,Mathisca,5,0.01%
74,lassem22,5,0.01%
75,gary-kim,5,0.01%
76,agatemosu,5,0.01%
77,NeoAdonis,5,0.01%
78,KanegaeGabriel,5,0.01%
79,vzrenggamani,5,0.01%
80,taylankasap,4,0.01%
81,Raymonf,4,0.01%
82,Hiviexd,4,0.01%
83,ilsubyeega,4,0.01%
84,ubinici,4,0.01%
85,evie-lau,4,0.01%
86,ekisu,4,0.01%
87,TheBITLINK,4,0.01%
88,RedbackThomson,4,0.01%
89,KeziahMoselle,4,0.01%
90,ivan94,4,0.01%
91,rcole5,3,0.01%
92,doamatto,3,0.01%
93,dependabot-preview[bot],3,0.01%
94,voidstar0,3,0.01%
95,yellowberryHN,3,0.01%
96,zacwm,3,0.01%
97,Walavouchey,3,0.01%
98,tzx,3,0.01%
99,TicClick,3,0.01%
100,turbedi,3,0.01%
101,benpigchu,3,0.01%
102,alchzh,3,0.01%
103,danielmyren,3,0.01%
104,ethamitc,3,0.01%
105,FelixGerberding,3,0.01%
106,ExperiBass,3,0.01%
107,Karenosu,3,0.01%
108,hbnrmx,3,0.01%
109,MaxTechnics,3,0.01%
110,Robwolver,3,0.01%
111,notsoli,3,0.01%
112,Shmiklak,2,0.00%
113,knightss27,2,0.00%
114,Sheppsu,2,0.00%
115,sneycampos,2,0.00%
116,UnnoTed,2,0.00%
117,yfxu,2,0.00%
118,clevernt,2,0.00%
119,samuelhklumpers,2,0.00%
120,Bocom,2,0.00%
121,danilyer228,2,0.00%
122,notdrago,2,0.00%
123,WorldSEnder,2,0.00%
124,Techno-coder,2,0.00%
125,Poyo-SSB,2,0.00%
126,reykim7854,2,0.00%
127,DrabWeb,2,0.00%
128,E223,2,0.00%
129,Tracreed,2,0.00%
130,Blooshing,2,0.00%
131,Gri-ffin,2,0.00%
132,AlexzanDev,2,0.00%
133,GrilledCheeese,2,0.00%
134,thehowl,2,0.00%
135,flashwave,2,0.00%
136,mayacopeland,2,0.00%
137,iptq,2,0.00%
138,NoffyNoffeh,2,0.00%
139,LosTigeros,2,0.00%
140,frenzibyte,2,0.00%
141,aspriddell,1,0.00%
142,Slayer95,1,0.00%
143,stanriders,1,0.00%
144,TTTaevas,1,0.00%
145,Tetriando,1,0.00%
146,gitter-badger,1,0.00%
147,TheDen,1,0.00%
148,aerouk,1,0.00%
149,VPeruS,1,0.00%
150,Xoas,1,0.00%
151,aceticke,1,0.00%
152,eugenekotovx,1,0.00%
153,zxshima,1,0.00%
154,vmfunc,1,0.00%
155,mbnkwm,1,0.00%
156,nl-tatatat,1,0.00%
157,pishifat,1,0.00%
158,revelsix,1,0.00%
159,walle303,1,0.00%
160,AngeIo,1,0.00%
161,austin-leung,1,0.00%
162,Bowl323,1,0.00%
163,Charly-T,1,0.00%
164,S1n1st3rn3ss,1,0.00%
165,ErunamoJAZZ,1,0.00%
166,KaiMinCL,1,0.00%
167,Firmatorenio,1,0.00%
168,GSculerlor,1,0.00%
169,Tanza3D,1,0.00%
170,eoyoa,1,0.00%
171,Erinaaaaaaa,1,0.00%
172,L-Mario564,1,0.00%
173,gmikhail,1,0.00%
174,Nivalyx,1,0.00%
175,omkelderman,1,0.00%
176,Phippe,1,0.00%
177,Purplegaze,1,0.00%
178,Remyria,1,0.00%
179,RoanH,1,0.00%
180,roansong,1,0.00%
